Dates,SPY US Equity,EFA US Equity,XLF US Equity,XLK US Equity,XLV US Equity,XLP US Equity,XLE US Equity,EWJ US Equity,EWZ US Equity,XLU US Equity,XLI US Equity,EZU US Equity,IYR US Equity,XLB US Equity,RWR US Equity,IXN US Equity,ISMUF US Equity,ICF US Equity,IYZ US Equity,ILF US Equity,IEV US Equity,TIP US Equity,AGG US Equity,IEF US Equity,TLT US Equity,SHY US Equity,LQD US Equity
7/31/13,204.2973,77.6789,20.5178,35.9714,60.0845,52.0815,95.3533,50.22,57.263,55.5956,54.483,46.9322,100.9034,50.7338,113.7214,77.5174,2.6296,117.5286,36.9883,44.5968,54.9164,164.3659,154.9492,141.4656,158.469,104.747,181.6405
8/30/13,198.17,76.1601,19.4664,35.5973,57.9647,49.7159,94.3699,48.63,55.8018,52.8201,53.1318,46.0818,94.3119,50.6711,105.8427,77.0781,2.5262,109.6759,35.4918,43.1238,54.075,161.3649,153.6698,139.4545,156.3525,104.6457,179.83128
9/30/13,204.4482,82.1209,20.0107,36.5003,59.8243,50.3994,96.3672,53.33,63.0682,53.433,56.2461,50.1345,97.5721,52.9187,109.314,80.1745,2.5262,112.7023,36.7489,47.173,58.0061,164.1996,155.3928,142.0302,157.3775,104.8786,181.16754
10/31/13,213.9156,84.7968,20.6742,38.3344,62.4022,53.6222,100.4133,53.26,66.0235,55.4506,58.9308,52.8585,101.2125,55.1357,113.7357,83.8388,2.9281,116.763,39.0673,49.022,60.3792,164.7649,156.6851,143.1358,159.6296,104.9512,184.44326
11/29/13,220.2555,85.2602,21.594,39.5192,65.3467,54.4643,100.4714,53.95,61.8045,54.3782,61.0883,53.6292,96.5167,55.8537,107.4553,86.9566,2.9281,110.1955,38.0946,47.136,60.9248,163.0246,156.2947,141.8834,155.3187,105.0494,184.18787
12/31/13,225.9592,87.0971,22.0789,40.9148,65.8282,54.8383,103.3554,54.71,59.5896,54.8673,63.6624,55.1588,97.3884,58.5873,107.9532,89.7493,2.9281,110.6139,39.9315,46.4163,62.6826,160.657,155.4256,138.9181,152.4198,104.8629,184.58266
1/31/14,217.9946,82.5732,21.2709,39.8616,66.4456,52.0058,97.365,51.06,52.3343,56.5001,60.9458,52.3462,100.7386,55.824,112.149,86.6135,2.9281,115.736,38.7227,41.3411,59.8027,164.0339,157.8206,143.1736,162.0264,105.0742,188.06133
2/28/14,227.9168,87.6358,21.9173,41.6132,70.5777,54.0345,102.3511,52.32,54.6816,58.4509,63.4187,55.9986,105.5247,59.6774,118.0109,90.7783,2.9281,121.5983,38.6555,42.3812,64.1093,164.7502,158.4132,143.6844,162.8699,105.115,190.21063
3/31/14,229.8109,87.2334,22.6472,41.7935,69.694,55.2201,104.5078,51.06,60.063,60.4057,64.0247,56.3452,105.6699,60.1708,118.9398,91.0637,2.7237,122.7025,40.4782,45.8273,63.779,163.8731,158.1779,142.8768,164.0602,105.0011,190.15334
4/30/14,231.4084,88.6873,22.262,41.9084,69.2531,56.7333,109.9996,49.94,62.7371,62.9554,64.8811,57.3849,108.8711,60.6671,123.3602,91.0315,2.7237,127.4919,39.6006,47.4814,65.5228,166.0366,159.478,143.9603,167.5016,105.1145,192.68204
